ds,yhat
2017-12-31,2489.278950316336
2018-01-01,2589.3945118674415
2018-01-02,1900.600628034555
2018-01-03,930.9181748064423
2018-01-04,2031.0855821012717
2018-01-05,2205.3015625029866
2018-01-06,1725.8171803290295
2018-01-07,1834.7184066397913
2018-01-08,1979.0712465323386
2018-01-09,1342.5396163476637
2018-01-10,432.15726121608645
2018-01-11,1597.505199616202
2018-01-12,1841.4791461282805
2018-01-13,1434.910140282853
2018-01-14,1618.3788848203656
2018-01-15,1837.3951486719325
2018-01-16,1274.0516094314016
2018-01-17,433.83257054303544
2018-01-18,1664.8281529794408
2018-01-19,1968.5375158462034
2018-01-20,1614.5234497090307
2018-01-21,1842.2579967911595
2018-01-22,2096.329660607163
2018-01-23,1558.1208644124913
2018-01-24,732.6354738410018
2018-01-25,1967.7264762354043
2018-01-26,2264.9069897797035
2018-01-27,1894.006701972129
2018-01-28,2095.013291421892
2018-01-29,2313.2694435465323
